"userID","qnNum","qnRT","soundFocus","volume","volumePer","playNum","rateTime","valRating","arouRating","averRatingDef","arouRatingDef"
"Y0EIZK1E",38,6213,"Scream
(Morriss et al., 2015; 2016; 2020)",12.0226443461741,1,1,2,0,90,61,65
"Y0EIZK1E",39,10157,"Scream
(Morriss et al., 2015; 2016; 2020)",3.46736850452532,0.5,1,2,8,83,44,52
"Y0EIZK1E",40,13105,"Cicada
(IADS-E; Yang et al., 2018)",12.0226443461741,1,1,2,88,59,36,61
"Y0EIZK1E",41,8950,"High Frequencies
(Zald and Pardo, 2002)",3.46736850452532,0.5,1,2,30,68,50,54
"Y0EIZK1E",42,65159,"800 Hz",12.0226443461741,1,2,2,46,57,58,41
"Y0EIZK1E",43,11934,"High Frequencies
(Zald and Pardo, 2002)",12.0226443461741,1,1,2,15,62,48,60
"Y0EIZK1E",44,9565,"Scream
(IADS-E; Yang et al., 2018)",3.46736850452532,0.5,1,1,22,70,54,59
"Y0EIZK1E",45,11144,"Dentist Drill
(Freesound)",3.46736850452532,0.5,1,2,30,66,41,40
"Y0EIZK1E",46,11814,"Brownian Noise",12.0226443461741,1,1,2,74,69,45,64
"Y0EIZK1E",48,24708,"Piano Melody
(IADS-E; Yang et al., 2018)",12.0226443461741,1,1,1,80,25,36,57
"Y0EIZK1E",49,10960,"White Noise
(Bacigalupo & Luck, 2018)",3.46736850452532,0.5,1,2,13,58,58,42
"Y0EIZK1E",51,8327,"Scream
(IADS-E; Yang et al., 2018)",3.46736850452532,0.5,1,2,13,85,37,51
"Y0EIZK1E",52,7058,"5,000 Hz",3.46736850452532,0.5,1,2,6,71,51,52
"Y0EIZK1E",53,6988,"Pink Noise",3.46736850452532,0.5,1,2,85,75,40,66
"Y0EIZK1E",54,9396,"5,000 Hz",12.0226443461741,1,1,2,0,93,43,53
"Y0EIZK1E",55,12403,"Cicada
(IADS-E; Yang et al., 2018)",3.46736850452532,0.5,1,2,82,45,41,57
"Y0EIZK1E",56,11452,"Brownian Noise",3.46736850452532,0.5,1,2,80,51,39,54
"Y0EIZK1E",57,10763,"Sea Wave
(IADS-E; Yang et al., 2018)",3.46736850452532,0.5,1,2,80,61,35,47
"Y0EIZK1E",58,9523,"Piano Melody
(IADS-E; Yang et al., 2018)",12.0226443461741,1,1,2,81,24,64,49
"Y0EIZK1E",59,19436,"Metal Screech
(Zald and Pardo, 2002)",3.46736850452532,0.5,2,2,14,60,51,40
"Y0EIZK1E",60,8385,"800 Hz",3.46736850452532,0.5,1,2,12,56,42,46
"IK7TQVA6",1,16375,"Pink Noise",2.04173794466953,0.5,1,1,17,32,41,53
"IK7TQVA6",2,9983,"High Frequencies
(Zald and Pardo, 2002)",2.04173794466953,0.5,1,1,10,93,65,52
